MODEL,COMPANY,PRICE(LAKHS) EX-SHOWROOM,FUEL TYPE,MILAGE (Kmpl),SAFTY(star),TYPE,BOOTSPACE,ENGINE CC,EMISSION NORM
Baleno,suzuki,6.14,petrol,24,2,hatchback,339,1197,BS6
Swift,suzuki,5.93,petrol,24,1,hatchback,268,1197,BS6
Vitara Brezza,suzuki,7.69,petrol,19,3,compact suv,328,1462,BS6
ertiga,suzuki,8.12,petrol,19,2,mpv,209,1462,BS6
ertiga,suzuki,9.87,cng,24,2,mpv,209,1462,BS6
dzire,suzuki,6.09,petrol,24,2,sedan,378,1197,BS6
wagon r,suzuki,5.18,petrol,21,2,hatchback,341,1197,BS6
wagon r,suzuki,6.82,cng,32,2,hatchback,341,1197,BS6
celerio,suzuki,5.15,petrol,26,2,hatchback,341,1197,BS6
alto,suzuki,3.35,petrol,22,2,hatchback,177,998,BS6
xl6,suzuki,10.14,petrol,19,2,mpv,209,1462,BS6
s cross,suzuki,8.83,petrol,18,3,compact suv,375,1462,BS6
s presso,suzuki,3.87,petrol,22,1,sedan,270,998,BS6
ciaz,suzuki,8.85,petrol,21,3,hatchback,510,1462,BS6
ignis,suzuki,5.25,petrol,21,2,hatchback,260,1197,BS6
eeco,suzuki,4.51,petrol,16,2,mpv,275,1196,BS6
eeco,suzuki,6.63,cng,20,2,mpv,275,1196,BS6
city,honda,11.33,petrol,17,4,sedan,506,1498,BS6
amaze,honda,6.44,petrol,18,3,sedan,402,1199,BS6
wrv,honda,8.99,petrol,17,3,compact suv,363,1199,BS6
jazz,honda,7.71,petrol,17,4,hatchback,354,1199,BS6
city,honda,15.42,diesel,24,4,sedan,506,1498,BS6
amaze,honda,8.82,diesel,24,3,sedan,420,1498,BS6
wrv,honda,10.98,diesel,23,3,compact suv,363,1498,BS6
creta,hyundai,10.23,petrol,17,4,compact suv,433,1497,BS6
creta,hyundai,10.71,diesel,21,4,compact suv,433,1493,BS6
venue,hyundai,6.99,petrol,17,4,sedan,350,1197,BS6
